trace_index,strength_rank,delta_j,branch_label,delta_j_strength_rank,lower_j,upper_j,jpair_label,selected_source,available_sources,fallback_used,render_mode,line_count,grid_point_count,peak_absorbance,integrated_absorbance,color_hex,source_file_count,plotted_in_figure,labeled_on_figure
17,30,-1,dJ_-1,10,6,5,J 6->5,exomol,"exomol, hitran",no,exomol,18,4001,2.268386084128e-03,1.256638312529e-03,#4669e0,5,yes,no
18,20,0,dJ_+0,6,6,6,J 6->6,exomol,"exomol, hitran",no,exomol,21,4001,2.066633330248e-02,6.685577495802e-03,#466be3,5,yes,yes
19,37,1,dJ_+1,14,6,7,J 6->7,exomol,"exomol, hitran",no,exomol,25,4001,1.192594175500e-03,4.806709540485e-04,#4771e9,5,yes,no
20,35,-1,dJ_-1,11,7,6,J 7->6,exomol,"exomol, hitran",no,exomol,25,4001,1.251714719347e-03,5.444275548503e-04,#4776ee,4,yes,no
21,1,0,dJ_+0,1,7,7,J 7->7,exomol,"exomol, hitran",no,exomol,28,4001,7.287846783752e-01,1.825726868959e-01,#477bf2,4,yes,yes
22,45,1,dJ_+1,18,7,8,J 7->8,exomol,"exomol, hitran",no,exomol,32,4001,5.241489398435e-04,3.370679006887e-04,#4680f6,4,yes,no
23,4,-1,dJ_-1,1,8,7,J 8->7,exomol,"exomol, hitran",no,exomol,32,4001,4.855499730727e-01,1.579371624097e-01,#4685fa,4,yes,yes
24,5,0,dJ_+0,2,8,8,J 8->8,exomol,"exomol, hitran",no,exomol,36,4001,2.009676406265e-01,5.371475580325e-02,#458afc,4,yes,yes
25,31,1,dJ_+1,12,8,9,J 8->9,exomol,"exomol, hitran",no,exomol,41,4001,1.988951789070e-03,1.087505865117e-03,#448ffe,4,yes,no
26,47,-1,dJ_-1,16,9,8,J 9->8,exomol,"exomol, hitran",no,exomol,41,4001,2.417617165431e-04,1.486357175692e-04,#4294ff,5,yes,no
27,6,0,dJ_+0,3,9,9,J 9->9,exomol,"exomol, hitran",no,exomol,45,4001,1.736796251806e-01,4.517373813087e-02,#4099ff,5,yes,yes
28,22,1,dJ_+1,10,9,10,J 9->10,exomol,"exomol, hitran",no,exomol,50,4001,1.637591819662e-02,4.443809312554e-03,#3d9efe,5,yes,no
29,7,-1,dJ_-1,2,10,9,J 10->9,exomol,"exomol, hitran",no,exomol,50,4001,1.544187893533e-01,3.887198848789e-02,#3aa3fc,5,yes,yes
30,28,0,dJ_+0,9,10,10,J 10->10,exomol,"exomol, hitran",no,exomol,55,4001,2.956632102569e-03,9.118549076518e-04,#37a8fa,5,yes,no
31,12,1,dJ_+1,4,10,11,J 10->11,exomol,"exomol, hitran",no,exomol,61,4001,3.998121365108e-02,1.222878304567e-02,#33adf7,5,yes,yes
32,41,-1,dJ_-1,13,11,10,J 11->10,exomol,"exomol, hitran",no,exomol,61,4001,7.213856646289e-04,4.451307134273e-04,#2fb2f4,4,yes,no
33,32,0,dJ_+0,10,11,11,J 11->11,exomol,"exomol, hitran",no,exomol,66,4001,1.804233474204e-03,5.707046213457e-04,#2cb7f0,4,yes,no
34,11,1,dJ_+1,3,11,12,J 11->12,exomol,"exomol, hitran",no,exomol,72,4001,4.919757681602e-02,1.331275438554e-02,#28bceb,4,yes,yes
35,10,-1,dJ_-1,4,12,11,J 12->11,exomol,"exomol, hitran",no,exomol,72,4001,5.619677616470e-02,1.759521134918e-02,#27bee9,5,yes,yes
36,33,0,dJ_+0,11,12,12,J 12->12,exomol,"exomol, hitran",no,exomol,78,4001,1.544735977621e-03,4.399712976519e-04,#23c3e4,5,yes,no
37,19,1,dJ_+1,9,12,13,J 12->13,exomol,"exomol, hitran",no,exomol,85,4001,2.089850598773e-02,5.588742603884e-03,#20c7df,5,yes,no
38,38,-1,dJ_-1,12,13,12,J 13->12,exomol,"exomol, hitran",no,exomol,85,4001,1.118970510449e-03,4.795884150443e-04,#1ecbda,5,yes,no
39,17,0,dJ_+0,5,13,13,J 13->13,exomol,"exomol, hitran",no,exomol,91,4001,2.586609544034e-02,6.584467666177e-03,#1bd0d5,5,yes,yes
40,16,1,dJ_+1,8,13,14,J 13->14,exomol,"exomol, hitran",no,exomol,98,4001,2.770529595799e-02,7.246969646715e-03,#1ad4d0,5,yes,yes
41,57,-1,dJ_-1,19,14,13,J 14->13,exomol,"exomol, hitran",no,exomol,98,4001,4.225388296717e-05,3.778722751143e-05,#18d7ca,5,yes,no
42,21,0,dJ_+0,7,14,14,J 14->14,exomol,"exomol, hitran",no,exomol,105,4001,1.881414304561e-02,5.305834307080e-03,#18dbc5,5,yes,yes
43,15,1,dJ_+1,7,14,15,J 14->15,exomol,"exomol, hitran",no,exomol,113,4001,3.293584222050e-02,8.382974906582e-03,#18dec0,5,yes,yes
44,24,-1,dJ_-1,6,15,14,J 15->14,exomol,"exomol, hitran",no,exomol,113,4001,7.804190532225e-03,2.921173380325e-03,#19e2bb,5,yes,yes
45,48,0,dJ_+0,14,15,15,J 15->15,exomol,"exomol, hitran",no,exomol,120,4001,2.017382407492e-04,1.374288509231e-04,#1ae4b6,5,yes,no
46,42,1,dJ_+1,16,15,16,J 15->16,exomol,"exomol, hitran",no,exomol,128,4001,6.872345600954e-04,2.647989118564e-04,#1de7b2,5,yes,no
47,29,-1,dJ_-1,9,16,15,J 16->15,exomol,"exomol, hitran",no,exomol,128,4001,2.767973035906e-03,7.717611925055e-04,#20eaac,5,yes,no
48,53,0,dJ_+0,17,16,16,J 16->16,exomol,"exomol, hitran",no,exomol,136,4001,7.017676016980e-05,3.715366701617e-05,#25eca7,5,yes,no
49,23,1,dJ_+1,11,16,17,J 16->17,exomol,"exomol, hitran",no,exomol,145,4001,1.452209303925e-02,3.688967381583e-03,#2aefa1,5,yes,no
50,44,-1,dJ_-1,14,17,16,J 17->16,exomol,"exomol, hitran",no,exomol,145,4001,5.260952258240e-04,1.384464911191e-04,#2ff19b,5,yes,no
51,34,0,dJ_+0,12,17,17,J 17->17,exomol,"exomol, hitran",no,exomol,153,4001,1.406266221070e-03,6.020969944180e-04,#32f298,5,yes,no
52,43,1,dJ_+1,17,17,18,J 17->18,exomol,"exomol, hitran",no,exomol,162,4001,5.666738234686e-04,1.904496100149e-04,#38f491,5,yes,no
53,54,-1,dJ_-1,18,18,17,J 18->17,exomol,"exomol, hitran",no,exomol,162,4001,5.334363509712e-05,2.345136409441e-05,#3ff68a,5,yes,no
54,51,0,dJ_+0,15,18,18,J 18->18,exomol,"exomol, hitran",no,exomol,171,4001,1.145702006353e-04,4.454783463797e-05,#46f884,5,yes,no
55,58,1,dJ_+1,20,18,19,J 18->19,exomol,"exomol, hitran",no,exomol,181,4001,3.210835754833e-05,1.066046823738e-05,#4ef97d,5,yes,no
56,49,-1,dJ_-1,17,19,18,J 19->18,exomol,"exomol, hitran",no,exomol,181,4001,1.458462725084e-04,6.635777754688e-05,#55fa76,5,yes,no
57,67,0,dJ_+0,22,19,19,J 19->19,exomol,"exomol, hitran",no,exomol,190,4001,1.967304356927e-06,1.848513909707e-06,#5dfc6f,5,yes,no
58,39,1,dJ_+1,15,19,20,J 19->20,exomol,"exomol, hitran",no,exomol,200,4001,8.680381102761e-04,2.191929955977e-04,#65fd69,5,yes,no
59,60,-1,dJ_-1,20,20,19,J 20->19,exomol,"exomol, hitran",no,exomol,200,4001,1.845508898851e-05,6.562615094511e-06,#6dfe62,5,yes,no
60,69,0,dJ_+0,24,20,20,J 20->20,exomol,"exomol, hitran",no,exomol,210,4001,1.758008658075e-06,8.727966823855e-07,#75fe5c,5,yes,no
61,63,1,dJ_+1,22,20,21,J 20->21,exomol,"exomol, hitran",no,exomol,221,4001,1.115683637144e-05,5.863816269749e-06,#7dff56,5,yes,no
62,77,-1,dJ_-1,25,21,20,J 21->20,exomol,"exomol, hitran",no,exomol,221,4001,1.809245728412e-07,2.163069039729e-07,#84ff51,5,yes,no
63,52,0,dJ_+0,16,21,21,J 21->21,exomol,"exomol, hitran",no,exomol,231,4001,8.831861291829e-05,4.057163040822e-05,#8bff4b,5,yes,no
64,71,1,dJ_+1,25,21,22,J 21->22,exomol,"exomol, hitran",no,exomol,248,4001,1.027870360949e-06,6.956496311995e-07,#92ff47,5,yes,no
65,62,-1,dJ_-1,22,22,21,J 22->21,exomol,"exomol, hitran",no,exomol,242,4001,1.256392838151e-05,6.466333250517e-06,#99fe42,5,yes,no
66,64,0,dJ_+0,20,22,22,J 22->22,exomol,"exomol, hitran",no,exomol,258,4001,9.917131969192e-06,4.986526605759e-06,#9ffd3f,5,yes,no
