 61 2954.293520 6.616E-23 2.033E+01.03200.054 1491.50290.75-.005909    0 0 1 1 1E     0 0 0 1 1F2    4E  27         5E   3     332333332329 1 1 1    18.0   22.0
 61 2955.174448 3.711E-23 7.513E+00.04400.068 1488.91310.75-.005910    0 0 1 1 1E     0 0 0 1 1F2    4F2 41         5F1  3     332333332329 1 1 1    27.0   33.0
 61 2955.176380 8.968E-25 2.303E-01.04500.100 1773.78140.75-.005910    0 0 1 1 1E     0 0 0 1 1F2    8A1 26         9A2  2     332333332329 1 1 1    85.0   95.0
 61 2955.432200 8.131E-23 9.823E+00.04700.094 1487.76760.75-.005911    0 0 1 1 1E     0 0 0 1 1F2    4A1 15         5A2  2     332333332329 1 1 1    45.0   55.0
 61 2955.862103 9.964E-25 1.780E-01.04400.068 1463.04310.75-.005912    0 0 1 1 1E     0 0 0 1 1F2    4F1 31         5F2  3     332333332329 1 1 1    27.0   33.0
 61 2956.342970 1.722E-24 4.607E-01.03200.054 1462.70760.75-.005913    0 0 1 1 1E     0 0 0 1 1F2    4E  22         5E   2     332333332329 1 1 1    18.0   22.0
 61 2957.480745 2.611E-25 8.155E-02.04400.069 1682.88820.75-.005915    0 0 1 1 1E     0 0 0 1 1F2    7F2 65         8F1  4     332333332329 1 1 1    45.0   51.0
 61 2958.993328 6.098E-24 1.075E+00.04400.068 1459.91190.75-.005918    0 0 1 1 1E     0 0 0 1 1F2    4F1 31         5F2  2     332333332329 1 1 1    27.0   33.0
 61 2959.506103 1.080E-22 1.934E+01.04400.068 1463.04310.75-.005919    0 0 1 1 1E     0 0 0 1 1F2    4F1 33         5F2  3     332333332329 1 1 1    27.0   33.0
 61 2959.577532 6.018E-24 1.537E+00.04400.069 1641.16470.75-.005919    0 0 1 1 1E     0 0 0 1 1F2    7F1 54         8F2  2     332333332329 1 1 1    45.0   51.0
 61 2959.816033 5.181E-24 1.322E+00.04400.069 1641.04800.75-.005920    0 0 1 1 1E     0 0 0 1 1F2    7F2 53         8F1  2     332333332329 1 1 1    45.0   51.0
 61 2961.641397 7.971E-25 1.772E-01.04400.068 1386.39050.75-.005923    0 0 1 1 1E     0 0 0 1 1F2    2F2 19         3F1  3     332333332329 1 1 1    15.0   21.0
 61 2964.329507 9.964E-23 1.998E+01.04400.068 1433.97220.75-.005929    0 0 1 1 1E     0 0 0 1 1F2    3F2 28         4F1  3     332333332329 1 1 1    21.0   27.0
 61 2964.609824 6.058E-23 1.219E+01.04400.068 1434.59770.75-.005929    0 0 1 1 1E     0 0 0 1 1F2    3F1 31         4F2  4     332333332329 1 1 1    21.0   27.0
 61 2966.522690 6.696E-25 2.413E-01.03200.055 1598.19490.75-.005933    0 0 1 1 1E     0 0 0 1 1F2    6E  38         7E   2     332333332329 1 1 1    26.0   30.0
 61 2966.768173 4.623E-25 1.108E-01.04400.069 1597.63660.75-.005934    0 0 1 1 1E     0 0 0 1 1F2    6F2 58         7F1  4     332333332329 1 1 1    39.0   45.0
 61 2967.026943 4.544E-24 9.049E-01.04400.068 1432.18050.75-.005934    0 0 1 1 1E     0 0 0 1 1F2    3F1 31         4F2  3     332333332329 1 1 1    21.0   27.0
 61 2967.440185 8.529E-24 1.726E+00.04400.069 1562.78820.75-.005935    0 0 1 1 1E     0 0 0 1 1F2    6F2 47         7F1  2     332333332329 1 1 1    39.0   45.0
 61 2967.869579 1.255E-23 1.523E+00.04700.099 1562.57430.75-.005936    0 0 1 1 1E     0 0 0 1 1F2    6A2 15         7A1  1     332333332329 1 1 1    65.0   75.0
 61 2969.697100 3.001E-25 9.068E-02.04400.069 1674.39070.75-.005939    0 0 1 1 1E     0 0 0 1 1F2    7F1 70         8F2  3     332333332329 1 1 1    45.0   51.0
 61 2969.716088 1.064E-22 1.913E+01.04400.068 1410.76730.75-.005939    0 0 1 1 1E     0 0 0 1 1F2    3F2 26         4F1  2     332333332329 1 1 1    21.0   27.0
 61 2969.804655 2.316E-25 5.561E-02.04400.069 1597.63660.75-.005940    0 0 1 1 1E     0 0 0 1 1F2    6F2 61         7F1  4     332333332329 1 1 1    39.0   45.0
 61 2970.024214 2.136E-25 8.402E-01.04300.114 2443.03470.75-.005940    0 0 1 1 1E     0 0 0 1 1F2   14A2 39        14A1  3     332333332329 1 1 1   145.0  145.0
 61 2970.236323 2.391E-25 8.292E-01.03800.063 2297.30320.75-.005940    0 0 1 1 1E     0 0 0 1 1F2   13F2112        13F1  7     332333332329 1 1 1    81.0   81.0
 61 2971.356073 4.344E-25 8.403E-01.03900.064 2161.19510.75-.005943    0 0 1 1 1E     0 0 0 1 1F2   12F1104        12F2  7     332333332329 1 1 1    75.0   75.0
 61 2972.191211 7.174E-25 8.185E-01.03900.063 2035.32200.75-.005944    0 0 1 1 1E     0 0 0 1 1F2   11F1 97        11F2  6     332333332329 1 1 1    69.0   69.0
 61 2973.103066 1.259E-24 8.602E-01.04500.106 2034.79250.75-.005946    0 0 1 1 1E     0 0 0 1 1F2   11A1 31        11A2  2     332333332329 1 1 1   115.0  115.0
 61 2973.108100 1.192E-24 2.388E-01.04400.069 1525.58700.75-.005946    0 0 1 1 1E     0 0 0 1 1F2    5F1 49         6F2  3     332333332329 1 1 1    33.0   39.0
 61 2974.409092 1.108E-24 7.872E-01.03900.063 1918.84190.75-.005949    0 0 1 1 1E     0 0 0 1 1F2   10F1 87        10F2  6     332333332329 1 1 1    63.0   63.0
 61 2974.415121 5.739E-25 1.352E-01.04400.069 1593.02610.75-.005949    0 0 1 1 1E     0 0 0 1 1F2    6F2 61         7F1  3     332333332329 1 1 1    39.0   45.0
 61 2974.529543 1.331E-23 2.300E+00.04400.068 1494.94810.75-.005949    0 0 1 1 1E     0 0 0 1 1F2    5F1 41         6F2  2     332333332329 1 1 1    33.0   39.0
 61 2974.904148 7.294E-23 1.647E+01.04400.068 1387.75880.75-.005950    0 0 1 1 1E     0 0 0 1 1F2    2F1 20         3F2  2     332333332329 1 1 1    15.0   21.0
 61 2974.957088 4.265E-23 1.442E+01.03200.054 1387.40050.75-.005950    0 0 1 1 1E     0 0 0 1 1F2    2E  15         3E   2     332333332329 1 1 1    10.0   14.0
 61 2974.995167 1.108E-23 1.913E+00.04400.068 1494.72290.75-.005950    0 0 1 1 1E     0 0 0 1 1F2    5F2 39         6F1  1     332333332329 1 1 1    33.0   39.0
 61 2975.012796 1.634E-22 2.219E+01.04700.094 1388.23170.75-.005950    0 0 1 1 1E     0 0 0 1 1F2    2A1  8         3A2  1     332333332329 1 1 1    25.0   35.0
 61 2976.399695 1.427E-24 6.693E-01.03900.062 1812.55760.75-.005953    0 0 1 1 1E     0 0 0 1 1F2    9F2 77         9F1  5     332333332329 1 1 1    57.0   57.0
 61 2978.834770 1.582E-24 1.876E-01.04700.099 1521.96420.75-.005958    0 0 1 1 1E     0 0 0 1 1F2    5A2 18         6A1  1     332333332329 1 1 1    55.0   65.0
 61 2978.931750 5.301E-24 1.045E+00.04500.100 1716.09270.75-.005958    0 0 1 1 1E     0 0 0 1 1F2    8A2 21         8A1  2     332333332329 1 1 1    85.0   85.0
 61 2979.754847 8.051E-23 1.659E+01.04400.068 1368.27710.75-.005960    0 0 1 1 1E     0 0 0 1 1F2    2F2 19         3F1  2     332333332329 1 1 1    15.0   21.0
 61 2980.012800 1.471E-22 1.826E+01.04700.094 1369.01820.75-.005960    0 0 1 1 1E     0 0 0 1 1F2    2A2  5         3A1  1     332333332329 1 1 1    25.0   35.0
 61 2980.967383 4.225E-24 1.038E+00.04400.069 1630.17540.75-.005962    0 0 1 1 1E     0 0 0 1 1F2    7F2 57         7F1  5     332333332329 1 1 1    45.0   45.0
 61 2981.583658 1.702E-23 2.729E+00.04400.068 1437.32150.75-.005963    0 0 1 1 1E     0 0 0 1 1F2    4F1 31         5F2  1     332333332329 1 1 1    27.0   33.0
 61 2981.849700 1.128E-23 2.712E+00.03200.054 1437.20090.75-.005964    0 0 1 1 1E     0 0 0 1 1F2    4E  22         5E   1     332333332329 1 1 1    18.0   22.0
 61 2983.581190 4.743E-24 8.525E-01.04400.068 1460.50630.75-.005967    0 0 1 1 1E     0 0 0 1 1F2    4F2 41         5F1  2     332333332329 1 1 1    27.0   33.0
 61 2984.088062 6.855E-24 1.344E+00.04400.069 1553.98970.75-.005968    0 0 1 1 1E     0 0 0 1 1F2    6F1 49         6F2  4     332333332329 1 1 1    39.0   39.0
 61 2984.307434 2.539E-25 4.026E-02.04400.068 1434.59770.75-.005969    0 0 1 1 1E     0 0 0 1 1F2    4F1 31         4F2  4     332333332329 1 1 1    27.0   27.0
 61 2985.338338 5.142E-23 1.637E+01.04400.068 1351.82680.75-.005971    0 0 1 1 1E     0 0 0 1 1F2    1F1 14         2F2  2     332333332329 1 1 1     9.0   15.0
 61 2986.531957 9.566E-24 1.614E+00.04400.068 1488.30910.75-.005973    0 0 1 1 1E     0 0 0 1 1F2    5F1 43         5F2  4     332333332329 1 1 1    33.0   33.0
 61 2987.534278 3.495E-25 6.359E-02.04400.068 1410.76730.75-.005975    0 0 1 1 1E     0 0 0 1 1F2    3F2 28         4F1  2     332333332329 1 1 1    21.0   27.0
 61 2987.559480 1.562E-23 1.578E+00.04700.094 1487.76760.75-.005975    0 0 1 1 1E     0 0 0 1 1F2    5A1 13         5A2  2     332333332329 1 1 1    55.0   55.0
 61 2990.200618 2.559E-24 4.625E-01.04400.068 1409.00700.75-.005980    0 0 1 1 1E     0 0 0 1 1F2    3F1 31         4F2  2     332333332329 1 1 1    21.0   27.0
 61 2990.368553 1.283E-23 2.019E+00.04400.068 1432.18050.75-.005981    0 0 1 1 1E     0 0 0 1 1F2    4F1 33         4F2  3     332333332329 1 1 1    27.0   27.0
 61 2994.092878 1.714E-23 2.782E+00.04400.068 1386.39050.75-.005988    0 0 1 1 1E     0 0 0 1 1F2    3F2 26         3F1  3     332333332329 1 1 1    21.0   21.0
 61 2994.504291 2.670E-24 5.173E-01.04400.068 1353.52770.75-.005989    0 0 1 1 1E     0 0 0 1 1F2    2F2 19         3F1  1     332333332329 1 1 1    15.0   21.0
 61 2994.929198 4.225E-24 8.774E-01.04400.068 1367.73380.75-.005990    0 0 1 1 1E     0 0 0 1 1F2    2F1 20         3F2  1     332333332329 1 1 1    15.0   21.0
 61 2996.061700 1.778E-23 2.264E+01.03600.059 1326.12650.75-.005992    0 0 1 1 1E     0 0 0 1 1F2    0E   3         1E   1     332333332329 1 1 1     2.0    6.0
 61 2996.623482 8.131E-25 2.360E+01.02800.052 2688.62010.75-.005993    0 0 1 1 1E     0 0 0 1 1F2   16E  72        16E   3     332333332329 1 1 1    66.0   66.0
 61 2996.624493 1.220E-24 2.361E+01.03700.062 2688.61940.75-.005993    0 0 1 1 1E     0 0 0 1 1F2   16F1108        16F2  5     332333332329 1 1 1    99.0   99.0
 61 2996.626091 2.033E-24 2.360E+01.04100.115 2688.61790.75-.005993    0 0 1 1 1E     0 0 0 1 1F2   16A1 37        16A2  2     332333332329 1 1 1   165.0  165.0
 61 2996.698067 2.061E-23 3.957E+00.04400.068 1351.33390.75-.005993    0 0 1 1 1E     0 0 0 1 1F2    2F2 19         2F1  2     332333332329 1 1 1    15.0   15.0
