nu,[0]CH4-HITRAN:X=0.0001-T=300K-P=0.13157894736842105atm-L=100cm
2503.72,9.587791409689498e-8
2503.73,9.204560215761595e-8
2503.74,9.289573753172224e-8
2503.75,9.806420079408555e-8
2503.76,1.1246290898115931e-7
2503.77,1.604098636013936e-7
2503.78,2.9206713849333294e-7
2503.79,5.85142591380041e-7
2503.8,2.8632473183669607e-7
2503.81,1.5120528684308883e-7
2503.82,1.1081214937882445e-7
2503.83,9.942658291361843e-8
2503.84,9.795948132849238e-8
2503.85,1.0480690542877056e-7
2503.86,1.3288229755694992e-7
2503.87,2.785143851486287e-7
2503.88,4.3088745229138255e-7
2503.89,1.8121757815429685e-7
2503.9,1.2183036366911693e-7
2503.91,1.1179582385249689e-7
2503.92,1.1476804621325175e-7
2503.93,1.2837440024551878e-7
2503.94,1.6488694103894682e-7
2503.95,2.9584056850522294e-7
2503.96,8.354800529889346e-7
2503.97,6.885148869865461e-7
2503.98,2.607594895814339e-7
2503.99,1.7310549804168879e-7
2504,1.5476034419144545e-7
2504.01,1.695434546595695e-7
2504.02,2.0567752207121888e-7
2504.03,1.9206891689770202e-7
2504.04,2.729302288037253e-7
2504.05,6.163776997707242e-7
2504.06,3.704271840340384e-7
2504.07,2.2928937235217058e-7
2504.08,2.226407826143078e-7
2504.09,2.5581008474941134e-7
2504.1,3.720618066342013e-7
2504.11,8.372987050735141e-7
2504.12,7.880666529298012e-7
2504.13,4.644637804969265e-7
2504.14,5.688099458240625e-7
2504.15,5.487594509023741e-7
2504.16,4.3928080629127617e-7
2504.17,4.5468958410464343e-7
2504.18,5.138514717223665e-7
2504.19,6.058521422410275e-7
2504.2,7.409566563144725e-7
2504.21,9.438168133436617e-7
2504.22,0.0000012863683877317283
2504.23,0.0000020512381403695984
2504.24,0.000002985078870328576
2504.25,0.000004326014590888929
2504.26,0.00000927027071137946
2504.27,0.000027269110204778347
2504.28,0.00005799008906373015
2504.29,0.00006258138385550663
2504.3,0.00001805966382925525
2504.31,0.00000695613784584989
2504.32,0.000003825242420679225
2504.33,0.0000026439475025117434
2504.34,0.0000022587615042106613
2504.35,0.0000025124962770926324
2504.36,0.000004150537217164591
2504.37,0.000011866534163542718
2504.38,0.000017122565310934535
2504.39,0.000006103439577813449
2504.4,0.0000024503333107207047
2504.41,0.000001441111312847564
2504.42,0.0000010445397148018045
2504.43,8.566345456143428e-7
2504.44,7.638730577917906e-7
2504.45,7.254756077335969e-7
2504.46,7.256899169040745e-7
2504.47,7.603922393921981e-7
2504.48,8.340029869521658e-7
2504.49,9.605475580767434e-7
2504.5,0.0000011811384844535434
2504.51,0.00000149755158751942
2504.52,0.0000020568192869430444
2504.53,0.000003313121437191664
2504.54,0.00000706608899841534
2504.55,0.00002294306302211733
2504.56,0.0000310729067302552
2504.57,0.000013906892123944324
2504.58,0.000018397287829805627
2504.59,0.000017032229135577898
2504.6,0.000009432830747653258
2504.61,0.000011082018943084758
2504.62,0.0000245741670018648
2504.63,0.00007458420407967843
2504.64,0.00006549737961365289
2504.65,0.00002033344093380988
2504.66,0.00000837467615255403
2504.67,0.0000045508384520770485
2504.68,0.0000028921959318208535
2504.69,0.0000020380911239913272
2504.7,0.0000015736065691581746
2504.71,0.0000014340408603405421
2504.72,0.0000017771287067701425
2504.73,0.0000013408688993744124
2504.74,9.096445641750763e-7
2504.75,6.835687459826925e-7
2504.76,5.221763577076776e-7
2504.77,4.3935128461210923e-7
2504.78,3.892725178249782e-7
2504.79,3.35447797069455e-7
2504.8,2.954415304734279e-7
2504.81,2.6519410087119404e-7
2504.82,2.4081817231225133e-7
2504.83,2.2180836329570094e-7
2504.84,2.04389736040267e-7
2504.85,1.8936970386274699e-7
2504.86,1.8046348545175767e-7
2504.87,1.8476366334031758e-7
2504.88,1.9000999291718815e-7
2504.89,1.6450182847807353e-7
2504.9,1.6201147459251676e-7
2504.91,2.0674512662963836e-7
2504.92,4.0900510416112537e-7
2504.93,3.339363941159601e-7
2504.94,1.6161343592603062e-7
2504.95,1.2144406340808925e-7
2504.96,1.0602336437956533e-7
2504.97,9.710290199297595e-8
2504.98,9.108687519416282e-8
2504.99,8.661975434592076e-8
2505,8.334942494937227e-8
2505.01,8.182114520918734e-8
2505.02,8.652928415119078e-8
2505.03,8.698114296301288e-8
2505.04,7.877636442588739e-8
2505.05,7.900101540810746e-8
2505.06,8.465390858015388e-8
2505.07,1.0158289914497271e-7
2505.08,1.5760434988915058e-7
2505.09,4.302100056784466e-7
2505.1,5.530779895878731e-7
2505.11,2.609208625385572e-7
2505.12,3.2729685377931176e-7
2505.13,2.807659864619449e-7
